R_fighter,Avg_sig_strike_att,Avg_sig_strike_pct,Avg_TD_att,Avg_TD_landed,Avg_TD_pct,Avg_Total_strike_att,Avg_Total_strike_landed,R_Stance,Reach,Height,Winner
Punahele Soriano,0.3283582089552239,0.9365079365079364,0.5,1,2,0.2754491017964072,0.23853211009174313,Southpaw,0.9729729729729729,0.9726027397260275,Yes
Carlos Felipe,12.416666666666666,0.6060606060606061,0,0,0,8.8,4.888888888888889,Orthodox,1.0135135135135134,1,Yes
Carlos Condit,2.482257190484048,0.6486313056806364,0.1629949755940497,0.2721655252350583,0.74629406251248,2.487668544168742,1.7913895754861355,Orthodox,1,1.027777777777778,Yes
David Zawada,0.8801955990220048,0.7694656488549617,0.23529411764705882,0.2,0.350109409190372,0.8243559718969555,0.824696802646086,Orthodox,0.986842105263158,1.0285714285714285,No
Joaquin Buckley,0.73100415343269,1.160764112470487,0.807570977917981,0.4444444444444444,0.8757525998905309,0.7801613385121003,0.9662704786379698,Southpaw,1.027027027027027,0.9722222222222223,No
Santiago Ponzinibbio,1.4149734618300898,1.2728535192506625,0.2956554447996991,0.45724465558194777,0.4453853695782322,1.3955664152866352,1.5608535606542857,Orthodox,1.028169014084507,1,No
Max Holloway,1.5635884893882936,0.9645508491296917,0.04943143404447115,0.07788825757575757,0.07176964120012373,1.5456920415828865,1.533227607344342,Orthodox,0.9583333333333333,1,Yes
Sarah Moras,0.6380813953488372,1.375,1,0.2578125,0.08890624999999999,0.8450468540829986,1.15625,Orthodox,1.0307692307692309,1.0307692307692309,No
Jacob Kilburn,0.09836065573770492,2.6315789473684212,0,0,0,0.1323529411764706,0.375,Orthodox,1.0285714285714285,0.9857142857142857,No
Marlon Moraes,0.4084695136248254,0.9247595332259168,0.7076591154261057,0.6867256637168142,0.9505254457432991,0.39488697629737096,0.3528101897212078,Orthodox,0.943661971830986,0.9705882352941178,No
Sijara Eubanks,0.8285509325681492,1.0010053619302948,4.125,9.625,4.3925,0.916867677463818,0.9944563662374821,Orthodox,1.0151515151515151,0.9552238805970149,No
Deron Winn,3.4148936170212765,0.7950819672131147,5.5,2,0.35,2.5708955223880596,1.824468085106383,Orthodox,0.958904109589041,0.8800000000000001,Yes
Stephen Thompson,3.1082822047688627,0.7824767813148339,0.1474609375,0.00537109375,0.00759765625,2.9616219788519635,2.707311280626134,Orthodox,1,1.0140845070422535,Yes
Jose Aldo,1.747726287065557,0.8017871216814811,0.6423608995063684,0.0039034776437189495,0.0028857640617222496,1.602207789529233,1.2850971580850326,Orthodox,1,0.9852941176470589,Yes
Anthony Pettis,0.45048930274822063,1.2371936454517178,0.30829587305025996,0.0078277587890625,0.019536285400390624,0.47261252840725504,0.5198574973311042,Orthodox,1,0.9859154929577465,Yes
